sku,qtd,descricao,parceira,atlas,tecnico,data,movimento,sap,id_tecnico,modalidade,responsavel,cat_material,observacao,modelo
2035431D03E7,,WIFI 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOHN,25/08/2025 08:01:44,DEVOLUCAO,41001552,97,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,TERMINAL DOCSIS 3.1 EMTA WIFI6 F@ST3896
4C195DD3DC27,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOHN,25/08/2025 08:01:48,DEVOLUCAO,41001504,97,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 FAST3895
D86C5A58B3ED,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOHN,25/08/2025 08:01:52,DEVOLUCAO,41001481,97,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 HGJ310
9877E7BB7C4F,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARIVALDO,25/08/2025 08:02:45,DEVOLUCAO,41001486,78,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
840112C180C1,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,MARIVALDO,25/08/2025 08:02:52,DEVOLUCAO,41001486,78,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
F4C1147D9054,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,MARIVALDO,25/08/2025 08:02:55,DEVOLUCAO,41001482,78,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIPEMTA WIFI 3.1 CGA4233CLB
840112377FB3,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:03:44,DEVOLUCAO,41001486,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
241682644042,,4K RFIP,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:04:04,DEVOLUCAO,41001583,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER CARDLESS 4K UHD S4KCW5 CABO IP
B85E71D7CDDC,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:05:17,DEVOLUCAO,41001513,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 TC3102 32X8
216795400925,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:05:25,DEVOLUCAO,41001275,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER HD DCI738 2T
